class,ip,ea,vis,bp,fp,li,lio2,o2m,o2
class-00550001,-9.62,0.09,5.66,614.91,410.5,15.14,8.19,13.02,-1.92
class-00550001,-9.62,0.09,5.66,614.91,410.5,15.14,8.19,13.02,-1.92
class-00550001,-9.86,-0.25,7.87,618.56,425.65,11.59,6.18,11.6,-1.66
class-00550001,-9.56,0.13,12.29,665.9,452.4,15.16,9.74,15.84,-2.1
class-00550001,-9.52,-0.04,3.96,491.58,349.17,23.59,13.69,17.08,-2.17
class-00550001,-9.18,-0.04,4.84,504.27,358.9,22.67,13.37,17.15,-2.19
class-00550001,-9.65,-0.25,4.3,539.55,373.8,20.22,10.26,12.36,-1.78
class-00550001,-9.56,0.13,12.29,665.9,452.4,15.16,9.74,15.84,-2.1
class-00550001,-9.52,-0.04,3.96,491.58,349.17,23.59,13.69,17.08,-2.17
class-00550001,-9.18,-0.04,4.84,504.27,358.9,22.67,13.37,17.15,-2.19
class-00550001,-9.65,-0.25,4.3,539.55,373.8,20.22,10.26,12.36,-1.78
class-00550001,-10.73,-1.01,17.94,667.34,451.09,18.2,8.62,10.57,-1.42
class-00550001,-9.87,-0.76,4.2,565.15,385.1,16.61,8.92,13.29,-1.63
class-00550001,-10.52,2,1.11,464.17,317.36,13.1,8.83,17.35,-1.98
class-00550001,-8.77,0.22,4.66,573.61,391.39,20.67,13.36,17.54,-2.2
class-00550001,-9.52,0.19,8.26,615.39,421.29,13.5,8.68,15.69,-2.02
class-00550001,-10.43,0.43,5.4,590.15,411.73,12.39,8.64,16.65,-2.1
class-00550001,-9.91,1.3,3.8,592.31,405.68,0.44,3.26,16.81,-2.07
class-00550001,-9.12,-0.03,5.19,501.34,359.17,29.45,15.89,17.22,-2.22
class-00550001,-9.7,2,2.84,551.5,368.02,14.06,8.72,15.66,-1.85
class-00550001,-9.79,1.71,4.16,632.07,415.51,9.23,5.93,14.7,-1.81
class-00550001,-11,0.55,1.54,487.82,338.81,11.91,8.46,17.42,-2
class-00550001,-10.21,0.38,3.59,547.51,378.18,13.61,8.06,14.67,-1.78
class-00550001,-9.75,-0.17,7.2,676.99,451.88,15.26,8.45,13.63,-2.01
