block,iucr,primary_type,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,latitude,longitude
108XX S EBERHART AVE,0486,BATTERY,False,True,513,5.0,9.0,49.0,08B,1181499.0,1833286.0,2007,41.697769562,-87.61106347399999
014XX W SUPERIOR ST,0460,BATTERY,False,False,1324,12.0,27.0,24.0,08B,1166339.0,1905110.0,2003,41.895198631999996,-87.664525255
041XX N BELL AVE,0610,BURGLARY,False,False,1912,19.0,47.0,5.0,05,1160624.0,1927379.0,2006,41.956426609,-87.684896479
0000X W TERMINAL ST,0820,THEFT,False,False,1653,16.0,41.0,76.0,06,1101811.0,1934419.0,2015,41.976762981,-87.900983721
047XX W ALTGELD ST,0560,ASSAULT,False,False,2521,25.0,31.0,19.0,08A,1144447.0,1916266.0,2008,41.926252013,-87.744648401
047XX S HOYNE AVE,0486,BATTERY,False,True,931,9.0,12.0,61.0,08B,1163161.0,1873180.0,2016,41.807646938000005,-87.67709342
071XX S PULASKI RD,0486,BATTERY,True,True,833,8.0,13.0,65.0,08B,1150938.0,1857056.0,2009,41.763647551999995,-87.722344693
064XX W FULLERTON AVE,0810,THEFT,False,False,2512,25.0,36.0,19.0,06,1133118.0,1915251.0,2012,41.923672617,-87.78630160600001
064XX S RICHMOND ST,4387,OTHER OFFENSE,False,True,823,8.0,15.0,66.0,26,1157820.0,1861879.0,2017,41.776745672,-87.69698965799999
087XX S MARQUETTE AVE,0810,THEFT,False,False,423,4.0,7.0,46.0,06,1195772.0,1847560.0,2009,41.736598406,-87.558333795
103XX S EBERHART AVE,1480,CONCEALED CARRY LICENSE VIOLATION,True,False,512,5.0,9.0,49.0,15,1181402.0,1836611.0,2017,41.706896035,-87.611316567
099XX S AVENUE H,1811,NARCOTICS,True,False,432,4.0,10.0,52.0,18,1202797.0,1839762.0,2010,41.715023662,-87.532862806
019XX W WASHINGTON BLVD,0420,BATTERY,False,False,1333,12.0,27.0,28.0,04B,1163439.0,1900703.0,2005,41.883167009,-87.675300318
038XX S WESTERN BLVD,5002,OTHER OFFENSE,True,False,913,9.0,12.0,59.0,26,1161152.0,1879244.0,2002,41.824329141,-87.68429392
027XX S WENTWORTH AVE,0890,THEFT,False,False,2113,9.0,11.0,34.0,06,1175402.0,1886187.0,2008,41.843074007,-87.631807419
037XX N PANAMA AVE,1305,CRIMINAL DAMAGE,False,False,1631,16.0,36.0,17.0,14,1121401.0,1923900.0,2003,41.947603662,-87.82916843299999
049XX W BELMONT AVE,051A,ASSAULT,False,False,1634,16.0,30.0,15.0,04A,1142775.0,1920819.0,2004,41.938777229,-87.75067858799999
066XX S RHODES AVE,0610,BURGLARY,False,False,321,3.0,20.0,42.0,05,1181041.0,1861173.0,2007,41.774305285,-87.611884483
0000X W TERMINAL ST,5007,OTHER OFFENSE,True,False,1653,16.0,41.0,76.0,26,1101811.0,1934419.0,2010,41.976762981,-87.900983721
