year,month,day,weekday,carrier,origin,destination,arrivaldelay,departuredelay,weatherdelay,distance
1995,3,13,1,NW,TYS,DTW,2,65,42,70
1991,6,7,5,CO,EWR,IAH,3,18,8,196
2005,5,27,5,AA,LAX,DFW,2,21,18,184
1991,3,1,5,DL,MEM,ATL,2,20,28,83
1991,1,1,2,CO,IAH,SFO,1,12,3,244
1991,1,11,5,UA,BDL,IAD,2,0,0,79
2006,1,11,3,US,PHL,FLL,2,5,3,163
1991,10,30,3,UA,ORD,SAT,1,8,15,173
1996,6,1,6,DL,SAV,ATL,3,0,1,59
2001,6,21,4,CO,IAH,DTW,3,53,62,169
1995,6,26,1,WN,HRL,SAT,3,11,10,49
2004,11,21,7,WN,LAX,MDW,2,50,34,214
1990,3,5,1,US,ABE,BWI,1,2,1,41
1998,5,20,3,DL,SLC,MCO,2,11,19,250
2004,4,13,2,WN,PHX,ABQ,1,0,3,68
2004,6,22,2,DL,SMF,ATL,1,0,0,267
2003,4,21,1,WN,MSY,HOU,1,0,0,65
2005,2,27,7,DL,EWR,ATL,3,86,103,160
2005,2,11,5,AA,SJU,JFK,2,123,101,223
1997,1,12,7,WN,ONT,SMF,3,28,24,71
2008,4,23,3,DL,ATL,IAD,3,0,9,113
1988,3,1,2,AA,DFW,OKC,3,16,26,66
1996,9,19,4,DL,DFW,PDX,1,20,87,288
1999,2,7,7,CO,EWR,LAX,1,2,2,367
2004,6,19,6,NW,SAT,MSP,1,26,16,156
1988,9,25,7,DL,MCO,ATL,2,0,13,92
2006,7,8,6,B6,SJU,JFK,3,5,6,231
1999,4,3,6,AS,LAX,SEA,2,0,1,159
2008,1,13,7,WN,SAT,DAL,3,3,0,52
2004,12,6,1,DH,BNA,IAD,2,53,38,88
1987,10,8,4,PI,FLL,CLT,1,38,31,98
1988,12,28,3,DL,LAX,SAN,2,10,20,47
2000,3,26,7,WN,GEG,SEA,2,10,5,50
1994,7,29,5,HP,EWR,CMH,1,140,127,89
2001,2,14,3,AA,MCI,ORD,1,0,0,92
1989,8,2,3,CO,MCO,EWR,1,1,19,164
1995,9,29,5,UA,SFO,SAN,2,38,20,72
2004,5,14,5,US,PHL,LAX,3,15,60,407
2006,6,21,3,NW,LAS,MSP,1,1,0,185
1990,6,21,4,NW,MSP,BIL,3,10,5,117
2003,12,15,1,NW,LAN,DTW,1,3,5,46
1991,5,26,7,DL,DFW,OKC,1,1,3,48
2003,7,23,3,WN,HRL,SAT,3,0,0,50
1998,12,28,1,UA,ORD,BUF,1,87,81,74
2001,7,5,4,WN,PHX,LAX,2,35,55,95
1992,9,5,6,US,AVL,CLT,2,10,30,60
1995,6,26,1,NW,SYR,DTW,3,18,30,97
1991,8,10,6,UA,ORD,SFO,2,3,0,262
1999,1,12,2,WN,PHX,BUR,1,0,4,84
2003,1,7,2,OO,LAX,SAN,2,1,0,52
1993,11,7,7,US,MYR,PHL,2,8,2,75
1994,4,30,6,HP,PHX,LAS,0,0,25,83
1992,3,26,4,DL,MCO,BHM,2,3,8,95
2004,11,15,1,WN,PHX,MSY,3,0,8,183
1997,7,12,6,WN,BNA,BWI,3,15,14,94
2008,1,2,3,US,SYR,CLT,3,14,20,133
1998,12,5,6,HP,SAN,PHX,1,5,3,65
1995,11,3,5,CO,IAH,ELP,3,0,4,117
2002,1,26,6,HP,PHX,MCI,3,41,30,144
2001,1,1,1,AA,IAD,MIA,1,1,11,171
1991,2,5,2,UA,LAX,SFO,1,19,31,96
1999,10,25,1,TW,MCO,STL,1,18,12,142
2006,9,17,7,OO,SLC,BIL,3,1,12,86
2005,12,1,4,AS,PDX,OAK,2,47,46,99
1998,6,12,5,WN,PVD,BWI,3,232,235,73
1994,6,29,3,AA,MIA,BOS,3,1,30,220
1987,11,11,3,TW,SJU,JFK,2,2,6,224
1994,7,22,5,DL,LGA,BOS,2,2,51,111
2005,2,17,4,WN,PHX,HOU,3,40,33,133
1997,5,15,4,DL,SLC,GEG,2,2,11,106
1993,4,18,7,CO,DCA,EWR,3,2,25,103
2003,5,6,2,MQ,DFW,XNA,1,29,47,86
2000,12,16,6,UA,ORD,MCO,2,82,124,195
1990,11,2,5,US,ORD,PIT,2,4,6,87
2003,5,3,6,WN,MSY,BHM,2,16,10,59
1992,5,17,7,AA,DFW,BOS,1,0,6,217
2000,7,24,1,DL,DEN,JFK,1,5,18,235
2005,9,16,5,UA,ORD,PHX,1,15,24,232
2008,2,1,5,US,ABE,CLT,1,94,115,126
1993,7,9,5,UA,DEN,DTW,3,6,35,201
1990,11,7,3,CO,EWR,IAH,2,11,11,238
2005,2,25,5,WN,SNA,SJC,2,10,0,70
2006,7,20,4,XE,DFW,CLE,2,6,7,166
1989,6,4,7,UA,MIA,IAD,2,0,0,150
1992,4,26,7,AA,JFK,MIA,1,0,10,181
2000,7,21,5,AA,DFW,PHL,1,5,11,203
1995,6,10,6,UA,ORD,MSP,1,2,3,81
1998,2,19,4,WN,PVD,TPA,1,0,0,195
2004,12,19,7,DL,SLC,ONT,2,5,9,109
1991,10,22,2,DL,OKC,ATL,1,0,4,121
2003,9,14,7,DL,DCA,LGA,3,36,76,103
2007,8,23,4,DL,ATL,JFK,2,32,51,165
1995,3,12,7,HP,SJC,PHX,2,3,12,109
1997,4,7,1,US,PIT,MCO,2,1,14,144
1992,12,4,5,DL,TLH,ATL,3,2,7,62
2006,12,15,5,WN,PHX,LAX,1,0,4,89
2008,2,16,6,AA,BOS,SJU,1,9,4,225
1992,1,29,3,AS,FAI,ANC,2,0,5,60
1988,2,23,2,EA,LGA,RDU,3,0,1,97
1989,7,7,5,CO,BUF,EWR,3,0,5,75
1987,12,1,2,HP,LAS,SMF,0,3,13,90
1993,1,22,5,DL,SLC,RNO,3,214,217,84
2007,8,2,4,OO,DEN,CID,2,29,38,123
1998,3,19,4,CO,CLE,ORD,1,9,4,76
1989,12,27,3,US,PIT,DFW,1,43,54,200
1999,3,3,3,HP,PHX,AUS,1,14,16,134
1994,10,14,5,WN,BHM,SDF,3,10,13,63
1994,2,8,2,CO,IAH,ORD,3,73,67,140
1988,3,30,3,NW,CVG,MSP,1,0,1,109
1994,8,15,1,US,CLT,CAE,1,36,45,42
2007,2,19,1,US,PHL,MHT,3,45,65,102
2002,7,29,1,WN,HOU,SAT,1,60,54,44
2006,1,19,4,WN,DAL,HOU,3,7,0,53
1990,5,10,4,US,BUR,SFO,2,30,43,87
2007,5,13,7,CO,IAH,OKC,3,4,4,86
1993,9,19,7,US,PHL,LGA,2,4,7,44
1994,4,27,3,NW,RST,LSE,0,61,65,29
2001,5,7,1,MQ,DFW,GRR,1,3,8,145
1988,1,10,7,PI,EWR,CLT,2,0,17,127
2002,5,6,1,UA,SAN,DEN,2,9,9,129
2005,8,9,2,XE,BDL,EWR,2,0,0,64
1989,4,13,4,DL,ATL,CHS,0,6,3,53
1994,7,28,4,NW,LAX,MEM,1,1,1,214
2008,10,10,5,CO,EWR,DTW,2,12,11,118
1993,4,30,5,WN,OKC,DAL,2,30,28,43
2000,3,20,1,WN,ELP,LBB,2,13,10,52
1998,8,19,3,AA,DFW,ELP,1,141,152,111
1995,7,21,5,AA,DFW,PHX,3,8,19,150
2007,10,2,2,AS,SNA,OAK,2,0,5,87
2006,1,5,4,EV,ATL,VPS,3,70,66,66
