scatter_name,x,y
HPIRank_AverageLifeExpectancy,110,59.7
HPIRank_AverageLifeExpectancy,13,77.3
HPIRank_AverageLifeExpectancy,30,74.3
HPIRank_AverageLifeExpectancy,19,75.9
HPIRank_AverageLifeExpectancy,73,74.4
HPIRank_AverageLifeExpectancy,105,82.1
HPIRank_AverageLifeExpectancy,43,81.0
HPIRank_AverageLifeExpectancy,8,70.8
HPIRank_AverageLifeExpectancy,102,70.9
HPIRank_AverageLifeExpectancy,87,80.4
HPIRank_AverageLifeExpectancy,27,69.8
HPIRank_AverageLifeExpectancy,137,59.2
HPIRank_AverageLifeExpectancy,56,68.7
HPIRank_AverageLifeExpectancy,92,67.5
HPIRank_AverageLifeExpectancy,76,76.2
HPIRank_AverageLifeExpectancy,126,64.2
HPIRank_AverageLifeExpectancy,23,73.9
HPIRank_AverageLifeExpectancy,109,73.9
HPIRank_AverageLifeExpectancy,119,58.0
HPIRank_AverageLifeExpectancy,131,55.8
HPIRank_AverageLifeExpectancy,74,67.5
HPIRank_AverageLifeExpectancy,124,54.6
HPIRank_AverageLifeExpectancy,85,81.7
HPIRank_AverageLifeExpectancy,140,50.8
HPIRank_AverageLifeExpectancy,35,81.1
HPIRank_AverageLifeExpectancy,72,75.4
HPIRank_AverageLifeExpectancy,3,73.7
HPIRank_AverageLifeExpectancy,93,62.6
HPIRank_AverageLifeExpectancy,1,79.1
HPIRank_AverageLifeExpectancy,135,50.8
HPIRank_AverageLifeExpectancy,47,77.0
HPIRank_AverageLifeExpectancy,41,79.8
HPIRank_AverageLifeExpectancy,64,78.2
HPIRank_AverageLifeExpectancy,32,79.8
HPIRank_AverageLifeExpectancy,127,61.3
HPIRank_AverageLifeExpectancy,45,73.1
HPIRank_AverageLifeExpectancy,10,75.4
HPIRank_AverageLifeExpectancy,86,70.7
HPIRank_AverageLifeExpectancy,17,72.5
HPIRank_AverageLifeExpectancy,118,76.2
HPIRank_AverageLifeExpectancy,66,62.8
HPIRank_AverageLifeExpectancy,37,80.4
HPIRank_AverageLifeExpectancy,44,81.8
HPIRank_AverageLifeExpectancy,120,63.3
HPIRank_AverageLifeExpectancy,40,74.6
HPIRank_AverageLifeExpectancy,49,80.6
HPIRank_AverageLifeExpectancy,104,61.0
HPIRank_AverageLifeExpectancy,89,80.5
HPIRank_AverageLifeExpectancy,26,71.4
HPIRank_AverageLifeExpectancy,129,57.7
HPIRank_AverageLifeExpectancy,57,62.1
HPIRank_AverageLifeExpectancy,65,72.8
HPIRank_AverageLifeExpectancy,123,83.6
HPIRank_AverageLifeExpectancy,69,74.9
HPIRank_AverageLifeExpectancy,39,82.2
HPIRank_AverageLifeExpectancy,50,67.3
HPIRank_AverageLifeExpectancy,16,68.5
HPIRank_AverageLifeExpectancy,84,74.8
HPIRank_AverageLifeExpectancy,67,69.0
HPIRank_AverageLifeExpectancy,48,80.5
HPIRank_AverageLifeExpectancy,54,81.9
