scatter_name,x,y
affect_02_MEQ_37,0,0
affect_02_MEQ_37,666,427
affect_02_MEQ_37,1632,347
affect_02_MEQ_37,526,468
affect_02_MEQ_37,447.0000153,339
affect_02_MEQ_37,16.99998474,438
affect_02_MEQ_37,1448,364
affect_02_MEQ_37,1448,364
affect_02_MEQ_37,1489,755
affect_02_MEQ_37,808,448
affect_02_MEQ_37,439,744
affect_02_MEQ_37,1431,691
affect_02_MEQ_37,706,361
affect_lie_BDI_0.3,0,0
affect_lie_BDI_0.3,614,606
affect_lie_BDI_0.3,614,606
affect_lie_BDI_0.3,614,606
affect_lie_BDI_0.3,979,161
affect_lie_BDI_0.3,979,161
affect_lie_BDI_0.3,590,500
affect_lie_BDI_0.3,1031,320
affect_lie_BDI_0.3,1031,320
affect_lie_BDI_0.3,1031,320
affect_lie_BDI_0.3,1201.000015,189
affect_lie_BDI_0.3,1201.000015,189
affect_lie_BDI_0.3,118,263
affect_lie_BDI_0.3,1287,334
affect_lie_BDI_0.3,133,463
affect_lie_BDI_0.3,710,111
affect_lie_BDI_0.3,710,111
affect_lie_BDI_0.3,893,591
affect_lie_BDI_0.3,544,660
affect_lie_BDI_0.3,437,81
affect_state2_state2_1,0,0
affect_state2_state2_1,9,219
affect_state2_state2_1,9,219
affect_state2_state2_1,9,219
affect_state2_state2_1,9,219
affect_state2_state2_1,9,219
affect_state2_state2_1,754,147
affect_state2_state2_1,754,147
affect_state2_state2_1,1131,653
affect_state2_state2_1,837,580
affect_state2_state2_1,837,580
affect_state2_state2_1,837,580
affect_state2_state2_1,390,370
affect_state2_state2_1,390,370
affect_state2_state2_1,390,370
affect_state2_state2_1,27,563
affect_state2_state2_1,27,563
affect_state2_state2_1,817,133
affect_state2_state2_1,133.9999847,93
affect_state2_state2_1,42,121
affect_state2_state2_1,42,121
affect_state2_state2_1,223,283
affect_state2_state2_1,223,283
affect_state2_state2_1,337,258
affect_state2_state2_1,739,174
Airline_airline_airline_41,0,0
Airline_airline_airline_41,135,510
Airline_airline_airline_41,135,510
Airline_airline_airline_41,135,510
Airline_airline_airline_41,135,510
Airline_airline_airline_41,135,510
Airline_airline_airline_41,633,119
Airline_airline_airline_41,633,119
Airline_airline_airline_41,1439,102
Airline_airline_airline_41,811,584
Airline_airline_airline_41,811,584
Airline_airline_airline_41,811,584
Airline_airline_airline_41,1088.000031,391
Airline_airline_airline_41,1088.000031,391
Airline_airline_airline_41,81,624
Airline_airline_airline_41,81,624
Airline_airline_airline_41,1037,431
Airline_airline_airline_41,179,102
Airline_airline_airline_41,71,104
Airline_airline_airline_41,71,104
Airline_airline_airline_41,246,143
Airline_airline_airline_41,394,299
Airline_airline_airline_41,145,498
Arbuthnot_Plague_Plague_1,5,710
Arbuthnot_Plague_Plague_1,781,150
Arbuthnot_Plague_Plague_1,781,150
Arbuthnot_Plague_Plague_1,288,752
Arbuthnot_Plague_Plague_1,288,752
Arbuthnot_Plague_Plague_1,1252,507
Arbuthnot_Plague_Plague_1,310.0000153,493
Arbuthnot_Plague_Plague_1,310.0000153,493
Arbuthnot_Plague_Plague_1,1164,780
Arbuthnot_Plague_Plague_1,795,113
Arbuthnot_Plague_Plague_1,264,95
Arbuthnot_Plague_Plague_1,3,88
Arbuthnot_Plague_Plague_1,3,88
Arbuthnot_Plague_Plague_1,351,162
Arbuthnot_Plague_Plague_1,351,162
Arbuthnot_Plague_Plague_1,343,325
Arbuthnot_Plague_Plague_1,733,102
attenu_mag_accel_19,0,0
attenu_mag_accel_19,447,719
attenu_mag_accel_19,447,719
attenu_mag_accel_19,955,341
attenu_mag_accel_19,955,341
attenu_mag_accel_19,708,549
attenu_mag_accel_19,1081,358
attenu_mag_accel_19,1081,358
attenu_mag_accel_19,1081,358
attenu_mag_accel_19,1198.000015,303
attenu_mag_accel_19,1198.000015,303
attenu_mag_accel_19,590,80
attenu_mag_accel_19,1255,368
attenu_mag_accel_19,172.9999847,592
attenu_mag_accel_19,699,107
attenu_mag_accel_19,699,107
attenu_mag_accel_19,850,463
attenu_mag_accel_19,606,719
attenu_mag_accel_19,342,97
AustralianElections_Com_Turnout_85,0,0
AustralianElections_Com_Turnout_85,961,605
AustralianElections_Com_Turnout_85,961,605
AustralianElections_Com_Turnout_85,802,408
AustralianElections_Com_Turnout_85,802,408
AustralianElections_Com_Turnout_85,660,649
AustralianElections_Com_Turnout_85,138,248
AustralianElections_Com_Turnout_85,15.99998474,503
AustralianElections_Com_Turnout_85,408,290
AustralianElections_Com_Turnout_85,1087,662
AustralianElections_Com_Turnout_85,161,576
AustralianElections_Com_Turnout_85,567,222
AustralianElections_Com_Turnout_85,113,527
AustralianElections_Com_Turnout_85,531,676
AustralianElections_Com_Turnout_85,671,321
AustralianElections_LPSeats_LP_33,0,0
AustralianElections_LPSeats_LP_33,153,743
AustralianElections_LPSeats_LP_33,114,366
AustralianElections_LPSeats_LP_33,310,640
AustralianElections_LPSeats_LP_33,1335,330
AustralianElections_LPSeats_LP_33,551,632
AustralianElections_LPSeats_LP_33,1469,600
AustralianElections_LPSeats_LP_33,1163,651
AustralianElections_LPSeats_LP_33,439.0000153,610
AustralianElections_LPSeats_LP_33,1002.999939,609
AustralianElections_LPSeats_LP_33,1002.999939,609
AustralianElections_LPSeats_LP_33,904,218
AustralianElections_LPSeats_LP_33,1322,250
AustralianElections_LPSeats_LP_33,406,300
AustralianElections_Seats_DLP_29,0,0
AustralianElections_Seats_DLP_29,57,687
AustralianElections_Seats_DLP_29,285,647
AustralianElections_Seats_DLP_29,340,644
AustralianElections_Seats_DLP_29,137,260
AustralianElections_Seats_DLP_29,1078.000015,565
AustralianElections_Seats_DLP_29,805,330
AustralianElections_Seats_DLP_29,1069,615
AustralianElections_Seats_DLP_29,415,492
AustralianElections_Seats_DLP_29,982,598
AustralianElections_Seats_DLP_29,982,598
AustralianElections_Seats_DLP_29,135,669
AustralianElections_Seats_DLP_29,1406,271
AustralianElections_Seats_DLP_29,551,560
baseball_bb_so_97,0,0
baseball_bb_so_97,564,153
baseball_bb_so_97,218,266
baseball_bb_so_97,218,266
baseball_bb_so_97,305,361
baseball_bb_so_97,1454,330
baseball_bb_so_97,37.99998474,605
baseball_bb_so_97,1589,75
baseball_bb_so_97,1589,75
baseball_bb_so_97,130,600
baseball_bb_so_97,1444,358
baseball_bb_so_97,21,854
baseball_bb_so_97,543,277
baseball_bb_so_97,803,292
baseball_bb_so_97,241,29
baseball_cs_cs_86,0,0
baseball_cs_cs_86,15,94
baseball_cs_cs_86,15,94
baseball_cs_cs_86,15,94
baseball_cs_cs_86,15,94
baseball_cs_cs_86,15,94
baseball_cs_cs_86,591,145
baseball_cs_cs_86,591,145
baseball_cs_cs_86,1117,556
baseball_cs_cs_86,829,595
baseball_cs_cs_86,829,595
baseball_cs_cs_86,829,595
baseball_cs_cs_86,406,299
baseball_cs_cs_86,406,299
baseball_cs_cs_86,406,299
baseball_cs_cs_86,48,632
baseball_cs_cs_86,48,632
baseball_cs_cs_86,808,79
baseball_cs_cs_86,62,93
baseball_cs_cs_86,59,128
baseball_cs_cs_86,59,128
baseball_cs_cs_86,242,316
baseball_cs_cs_86,242,316
baseball_cs_cs_86,454,345
baseball_cs_cs_86,699,146
baseball_cs_cs_86_invert,0,0
baseball_cs_cs_86_invert,158,94
baseball_cs_cs_86_invert,158,94
baseball_cs_cs_86_invert,158,94
baseball_cs_cs_86_invert,158,94
baseball_cs_cs_86_invert,158,94
baseball_cs_cs_86_invert,158,94
baseball_cs_cs_86_invert,630,212
baseball_cs_cs_86_invert,630,212
baseball_cs_cs_86_invert,1083,633
baseball_cs_cs_86_invert,661,677
baseball_cs_cs_86_invert,661,677
baseball_cs_cs_86_invert,661,677
baseball_cs_cs_86_invert,626,410
baseball_cs_cs_86_invert,626,410
baseball_cs_cs_86_invert,626,410
baseball_cs_cs_86_invert,232,686
baseball_cs_cs_86_invert,232,686
baseball_cs_cs_86_invert,955,199
baseball_cs_cs_86_invert,75.99998474,96
baseball_cs_cs_86_invert,74,123
baseball_cs_cs_86_invert,74,123
baseball_cs_cs_86_invert,1307,361
baseball_cs_cs_86_invert,1386,456
baseball_cs_cs_86_invert,768,143
baseball_g_cs_62,0,0
baseball_g_cs_62,893,148
baseball_g_cs_62,893,148
baseball_g_cs_62,51,154
baseball_g_cs_62,51,154
baseball_g_cs_62,397,111
baseball_g_cs_62,279,283
baseball_g_cs_62,1506,772
baseball_g_cs_62,1498,89
baseball_g_cs_62,1498,89
baseball_g_cs_62,15,132
baseball_g_cs_62,1020,580
baseball_g_cs_62,152.0000153,814
baseball_g_cs_62,695,279
baseball_g_cs_62,814,243
baseball_g_cs_62,199,161
baseball_sb_gidp_19,0,0
baseball_sb_gidp_19,1035,424
baseball_sb_gidp_19,1035,424
baseball_sb_gidp_19,160,248
baseball_sb_gidp_19,160,248
baseball_sb_gidp_19,293,104
baseball_sb_gidp_19,222.0000153,121
baseball_sb_gidp_19,32.99998474,610
baseball_sb_gidp_19,1481,128
baseball_sb_gidp_19,1481,128
baseball_sb_gidp_19,77,109
baseball_sb_gidp_19,1375,414
baseball_sb_gidp_19,38,826
baseball_sb_gidp_19,395,792
baseball_sb_gidp_19,667,218
baseball_sb_gidp_19,150,24
baseball_X2b_ibb_1,0,0
baseball_X2b_ibb_1,776,145
baseball_X2b_ibb_1,776,145
baseball_X2b_ibb_1,430,251
baseball_X2b_ibb_1,430,251
baseball_X2b_ibb_1,260,370
baseball_X2b_ibb_1,433,118
baseball_X2b_ibb_1,757.0000153,760
baseball_X2b_ibb_1,1040,106
baseball_X2b_ibb_1,1040,106
baseball_X2b_ibb_1,159,478
baseball_X2b_ibb_1,592,174
baseball_X2b_ibb_1,1546,70
baseball_X2b_ibb_1,928,405
baseball_X2b_ibb_1,748,321
baseball_X2b_ibb_1,216,103
Bechtoldt_Sentences_Letter_Series_61,0,0
Bechtoldt_Sentences_Letter_Series_61,48,794
Bechtoldt_Sentences_Letter_Series_61,82,402
Bechtoldt_Sentences_Letter_Series_61,202,615
Bechtoldt_Sentences_Letter_Series_61,1333,426
Bechtoldt_Sentences_Letter_Series_61,505,641
Bechtoldt_Sentences_Letter_Series_61,816,362
Bechtoldt_Sentences_Letter_Series_61,1117,656
Bechtoldt_Sentences_Letter_Series_61,368,343
Bechtoldt_Sentences_Letter_Series_61,995,566
Bechtoldt_Sentences_Letter_Series_61,995,566
Bechtoldt_Sentences_Letter_Series_61,580,88
Bechtoldt_Sentences_Letter_Series_61,1309,246
Bechtoldt_Sentences_Letter_Series_61,550,540
