data_class,homo_ev,homolumogap_ev,melting_point
alkyl,-10.354,16.374,-49.15
amine,-10.354,16.374,-49.15
alkyl,-9.497,15.837,-114.7
amine,-9.497,15.837,-114.7
halo,-13.141,18.029,-159.15
halo,-16.105,23.184,-162.95
halo,-12.677,15.573,-111.15
halo,-12.993,16.559,-157.95
halo,-13.76,18.425,-180.95
halo,-18.383,29.409,-184.15
halo,-12.605,16.492,-135
halo,-12.627,15.149,-22.85
halo,-12.346,15.609,-63.15
halo,-11.827,17.154,-91.15
halo,-12.158,16.334,-75.09
halo,-12.004,16.863,-42.7
halo,-12.144,15.582,-30.4
halo,-12.149,16.195,-35.25
halo,-9.963,13.233,-84.65
alkene,-9.963,13.233,-84.65
halo,-9.949,12.821,-22.18
alkene,-9.949,12.821,-22.18
alkyl,-12.096,17.081,-98
acetate,-12.096,17.081,-98
alkyl,-12.397,17.291,-79.6
acetate,-12.397,17.291,-79.6
ether,-11.377,17.908,-97.3
aromatic,-11.377,17.908,-97.3
acid,-12.203,17.11,-21.15
ketone,-11.756,16.55,-44.15
ester,-11.756,16.55,-44.15
alkyl,-11.756,16.55,-44.15
alkyl,-12,17.032,-83.15
acetate,-12,17.032,-83.15
acid,-12.084,17.018,-3.45
alkyl,-11.696,16.723,-42.8
acetate,-11.696,16.723,-42.8
alkene,-12.162,18.869,-112.6
ether,-12.162,18.869,-112.6
aromatic,-12.162,18.869,-112.6
aldehyde,-11.528,14.852,-123.15
alkene,-11.735,18.421,-112.13
ether,-11.735,18.421,-112.13
aromatic,-11.735,18.421,-112.13
ether,-12.106,18.467,64
aromatic,-12.106,18.467,64
ether,-11.265,17.666,-119.15
alkyl,-11.265,17.666,-119.15
alcohol,-11.87,18.015,-85.15
alkyl,-11.87,18.015,-85.15
alcohol,-11.658,17.202,25.15
alkyl,-11.658,17.202,25.15
alcohol,-11.59,17.376,-108
alkyl,-11.59,17.376,-108
ether,-10.969,17.145,-108.05
aromatic,-10.969,17.145,-108.05
alkyl,-11.187,15.277,-72.15
acetal,-11.187,15.277,-72.15
alkyl,-11.357,15.553,-97.15
acetal,-11.357,15.553,-97.15
ketone,-11.105,15.419,-86.65
ether,-10.715,17.393,11.85
aromatic,-10.715,17.393,11.85
alcohol,-11.808,17.699,-117.2
alkyl,-11.808,17.699,-117.2
alcohol,-11.859,18.002,-78.2
ether,-11.242,17.507,-85.5
alkyl,-11.242,17.507,-85.5
ether,-8.318,12.232,-23.15
aromatic,-8.318,12.232,-23.15
ether,-11.274,17.395,-105.15
alkane,-11.274,17.395,-105.15
ether,-11.444,17.875,-69.21
alkane,-11.444,17.875,-69.21
alcohol,-11.692,17.45,-77
alcohol,-11.856,17.899,26.85
alkyl,-10.868,15.196,-94.4
ketone,-10.868,15.196,-94.4
aromatic,-11.468,17.381,-19
ketone,-11.468,17.381,-19
alkene,-11.926,17.65,-12.15
alcohol,-11.926,17.65,-12.15
alkene,-11.388,16.926,58.85
alcohol,-11.388,16.926,58.85
alkene,-11.574,17.156,-60
alcohol,-11.574,17.156,-60
amide,-11.255,16.614,2.55
amide,-11.093,16.338,78.85
alkyl,-10.099,15.515,-60.45
amide,-10.099,15.515,-60.45
amide,-11.078,16.356,79.65
pyrrole,-10.458,15.833,25.57
ketone,-10.458,15.833,25.57
amide,-11.062,16.394,115.65
nitrile,-12.273,17.614,-45.15
nitrile,-12.883,16.654,31.85
nitrile,-12.134,17.185,-93.15
nitrile,-11.98,17.17,-96.23
alkyl,-9.838,15.166,18.5
oxide,-9.838,15.166,18.5
sulfur,-9.838,15.166,18.5
alkyl,-11.952,17.36,108.85
sulfur,-11.952,17.36,108.85
ketone,-11.952,17.36,108.85
