TimeSeriesNo,X-index,Y-value,Class
1,1,28.781,1
1,2,34.463,1
1,3,31.338,1
1,4,31.283,1
1,5,28.921,1
1,6,33.76,1
1,7,25.397,1
1,8,27.785,1
1,9,35.248,1
1,10,27.116,1
1,11,32.872,1
1,12,29.217,1
1,13,36.025,1
1,14,32.337,1
1,15,34.525,1
1,16,32.872,1
1,17,34.117,1
1,18,26.523,1
1,19,27.662,1
1,20,26.369,1
1,21,25.774,1
1,22,29.27,1
1,23,30.733,1
1,24,29.505,1
1,25,33.029,1
1,26,25.04,1
1,27,28.917,1
1,28,24.344,1
1,29,26.12,1
1,30,34.942,1
1,31,25.029,1
1,32,26.631,1
1,33,35.654,1
1,34,28.435,1
1,35,29.149,1
1,36,28.158,1
1,37,26.193,1
1,38,33.318,1
1,39,30.977,1
1,40,27.044,1
1,41,35.534,1
1,42,26.235,1
1,43,28.996,1
1,44,32.004,1
1,45,31.056,1
1,46,34.255,1
1,47,28.072,1
1,48,28.94,1
1,49,35.497,1
1,50,29.747,1
1,51,31.433,1
1,52,24.556,1
1,53,33.743,1
1,54,25.047,1
1,55,34.932,1
1,56,34.988,1
1,57,32.472,1
1,58,33.376,1
1,59,25.465,1
1,60,25.872,1
2,1,24.892,1
2,2,25.741,1
2,3,27.553,1
2,4,32.822,1
2,5,27.879,1
2,6,31.593,1
2,7,31.486,1
2,8,35.547,1
2,9,27.952,1
2,10,31.66,1
2,11,27.541,1
2,12,31.189,1
2,13,27.487,1
2,14,31.391,1
2,15,27.811,1
2,16,24.488,1
2,17,27.592,1
2,18,35.627,1
2,19,35.41,1
2,20,31.417,1
2,21,30.745,1
2,22,24.131,1
2,23,35.142,1
2,24,30.472,1
2,25,31.987,1
2,26,33.661,1
2,27,25.551,1
2,28,30.469,1
2,29,33.647,1
2,30,25.07,1
2,31,34.077,1
2,32,32.598,1
2,33,28.304,1
2,34,26.147,1
2,35,26.941,1
2,36,31.52,1
2,37,33.109,1
2,38,24.149,1
2,39,28.516,1
2,40,25.791,1
2,41,35.952,1
2,42,26.53,1
2,43,24.858,1
2,44,25.956,1
2,45,32.836,1
2,46,28.532,1
2,47,26.346,1
2,48,30.621,1
2,49,28.986,1
2,50,29.405,1
2,51,32.558,1
2,52,31.02,1
2,53,26.642,1
2,54,28.433,1
2,55,33.656,1
2,56,26.424,1
2,57,28.466,1
2,58,34.248,1
2,59,32.1,1
2,60,26.691,1
3,1,31.399,1
3,2,30.632,1
3,3,26.398,1
3,4,24.291,1
3,5,27.861,1
3,6,28.549,1
3,7,24.972,1
3,8,32.436,1
3,9,25.224,1
3,10,27.307,1
3,11,31.839,1
3,12,27.259,1
3,13,28.257,1
3,14,26.582,1
3,15,24.046,1
3,16,35.062,1
3,17,31.572,1
3,18,32.561,1
3,19,31.031,1
3,20,34.12,1
3,21,26.934,1
3,22,31.478,1
3,23,35.017,1
3,24,32.385,1
3,25,24.332,1
3,26,30.2,1
3,27,31.245,1
3,28,26.681,1
3,29,31.514,1
3,30,28.878,1
3,31,27.309,1
3,32,24.246,1
3,33,26.963,1
3,34,25.292,1
3,35,31.611,1
3,36,24.713,1
3,37,27.481,1
3,38,24.207,1
3,39,26.806,1
3,40,35.125,1
3,41,32.629,1
3,42,31.056,1
3,43,26.358,1
3,44,28.086,1
3,45,31.439,1
3,46,27.306,1
3,47,29.608,1
3,48,35.972,1
3,49,34.144,1
3,50,27.172,1
3,51,33.632,1
3,52,26.597,1
3,53,25.539,1
3,54,32.543,1
3,55,25.577,1
3,56,29.99,1
3,57,31.351,1
3,58,33.9,1
3,59,29.545,1
3,60,29.343,1
4,1,25.774,1
4,2,30.526,1
4,3,35.421,1
4,4,25.603,1
4,5,27.97,1
4,6,25.27,1
4,7,28.132,1
4,8,29.427,1
4,9,31.455,1
4,10,27.32,1
4,11,28.956,1
4,12,28.992,1
4,13,29.958,1
4,14,30.277,1
4,15,30.445,1
4,16,24.304,1
4,17,24.314,1
4,18,35.097,1
4,19,25.368,1
4,20,32.097,1
4,21,33.33,1
4,22,25.01,1
4,23,35.316,1
4,24,31.626,1
4,25,29.281,1
4,26,34.202,1
4,27,26.508,1
4,28,32.228,1
4,29,25.526,1
4,30,24.824,1
4,31,27.559,1
4,32,28.371,1
4,33,32.367,1
4,34,26.975,1
4,35,35.935,1
4,36,35.115,1
4,37,24.375,1
4,38,27.608,1
4,39,27.843,1
4,40,29.856,1
4,41,32.419,1
4,42,26.891,1
4,43,31.321,1
4,44,29.385,1
4,45,34.334,1
4,46,24.738,1
4,47,35.769,1
4,48,31.872,1
4,49,34.205,1
4,50,31.156,1
4,51,34.629,1
4,52,28.726,1
4,53,28.298,1
4,54,31.579,1
4,55,34.616,1
4,56,32.549,1
4,57,30.983,1
4,58,24.894,1
4,59,27.366,1
4,60,25.307,1
5,1,27.18,1
5,2,29.25,1
5,3,33.693,1
5,4,25.626,1
5,5,24.655,1
5,6,28.945,1
5,7,35.798,1
5,8,34.945,1
5,9,24.56,1
5,10,34.237,1
5,11,27.963,1
5,12,25.322,1
5,13,35.415,1
5,14,34.862,1
5,15,25.147,1
5,16,29.469,1
5,17,33.174,1
5,18,31.127,1
5,19,31.37,1
5,20,26.517,1
5,21,28.649,1
5,22,31.657,1
5,23,35.95,1
5,24,33.032,1
5,25,24.608,1
5,26,33.203,1
5,27,27.433,1
5,28,32.636,1
5,29,35.877,1
5,30,28.029,1
5,31,33.125,1
