class,al,co2
class-00000001,83.26,-1.7
class-00000001,91.8,-1.23
class-00000001,78.25,-1.76
class-00000001,84.75,-1.54
class-00000001,89.3,-1.59
class-00000001,59.87,-1.77
class-00000001,81.01,-1.73
class-00000001,81.16,-1.73
class-00000001,83.64,-1.79
class-00000001,117.74,-1.69
class-00025001,76.38,-1.82
class-00025001,61.62,-1.86
class-00025001,70.63,-1.67
class-00025001,94.13,-1.51
class-00025001,77.2,-1.79
class-00025001,80.91,-1.9
class-00025001,82.16,-1.9
class-00025001,62.15,-1.76
class-00025001,63.16,-1.78
class-00025001,64.93,-1.72
class-00050001,64.73,-1.87
class-00050001,64.73,-1.5
