Date,Primary Type,Domestic,Community Area
41060,OTHER OFFENSE,FALSE,20
41060,DECEPTIVE PRACTICE,FALSE,7
41060,SEX OFFENSE,FALSE,1
41060,OFFENSE INVOLVING CHILDREN,FALSE,49
41060,DECEPTIVE PRACTICE,FALSE,43
41060,CRIMINAL TRESPASS,FALSE,3
41060,DECEPTIVE PRACTICE,FALSE,30
41060,SEX OFFENSE,FALSE,14
41060,DECEPTIVE PRACTICE,FALSE,24
41060,OTHER OFFENSE,FALSE,7
41060,DECEPTIVE PRACTICE,FALSE,74
41060,MOTOR VEHICLE THEFT,FALSE,69
41060,CRIMINAL DAMAGE,FALSE,61
41060,THEFT,FALSE,51
41060,CRIMINAL DAMAGE,FALSE,51
41060,ASSAULT,TRUE,46
41060,NARCOTICS,FALSE,42
41060,ASSAULT,FALSE,66
41060,NARCOTICS,FALSE,25
41060,THEFT,FALSE,49
41060,ARSON,FALSE,17
41060,THEFT,FALSE,44
41060,INTERFERENCE WITH PUBLIC OFFICER,FALSE,60
41060,CRIMINAL DAMAGE,FALSE,62
41060,BATTERY,FALSE,1
41060,THEFT,FALSE,24
41060,THEFT,FALSE,20
41060,BURGLARY,FALSE,75
41060,CRIMINAL DAMAGE,FALSE,46
41060,BURGLARY,FALSE,42
41060,CRIMINAL DAMAGE,FALSE,1
41060,MOTOR VEHICLE THEFT,FALSE,63
41060,THEFT,FALSE,51
41060,THEFT,FALSE,24
41060,THEFT,FALSE,29
41060,CRIMINAL DAMAGE,FALSE,52
41060,DECEPTIVE PRACTICE,FALSE,71
41060,MOTOR VEHICLE THEFT,FALSE,25
41060,CRIMINAL TRESPASS,FALSE,64
41060,MOTOR VEHICLE THEFT,FALSE,68
41060,MOTOR VEHICLE THEFT,FALSE,30
41060,BATTERY,FALSE,26
41060,OTHER OFFENSE,TRUE,29
41060,CRIM SEXUAL ASSAULT,FALSE,29
41060,CRIMINAL TRESPASS,FALSE,66
41060,ASSAULT,FALSE,34
41060,BATTERY,TRUE,43
41060,BATTERY,FALSE,3
41060,ASSAULT,TRUE,68
41060,ROBBERY,FALSE,54
41060,CRIMINAL DAMAGE,FALSE,6
41060,BURGLARY,FALSE,7
41060,ASSAULT,FALSE,40
41060,OTHER OFFENSE,FALSE,19
41060,CRIM SEXUAL ASSAULT,FALSE,44
41060,CRIMINAL DAMAGE,FALSE,61
41060,CRIMINAL DAMAGE,FALSE,31
41060,CRIMINAL TRESPASS,FALSE,69
41060,ROBBERY,FALSE,14
41060,ASSAULT,FALSE,8
41060,BATTERY,TRUE,72
41060,ROBBERY,FALSE,14
41060,CRIMINAL DAMAGE,TRUE,16
41060,MOTOR VEHICLE THEFT,FALSE,76
41060,CRIMINAL DAMAGE,FALSE,28
41060,CRIMINAL DAMAGE,FALSE,16
41060,CRIMINAL DAMAGE,TRUE,69
41060,MOTOR VEHICLE THEFT,FALSE,38
41060,ASSAULT,FALSE,61
41060,BATTERY,TRUE,27
41060,OTHER OFFENSE,FALSE,25
41060,NARCOTICS,FALSE,23
41060,BATTERY,TRUE,27
41060,CRIMINAL DAMAGE,TRUE,49
41060,MOTOR VEHICLE THEFT,FALSE,24
41060,BATTERY,TRUE,40
41060,CRIMINAL DAMAGE,FALSE,52
41060,THEFT,FALSE,69
41060,CRIMINAL DAMAGE,TRUE,25
41060,BATTERY,TRUE,51
41060,CRIMINAL DAMAGE,FALSE,71
41060,BATTERY,FALSE,53
41060,CRIMINAL TRESPASS,FALSE,25
41060,HOMICIDE,FALSE,29
41060,OTHER OFFENSE,FALSE,65
41060,BURGLARY,FALSE,23
41060,BURGLARY,FALSE,6
41060,CRIMINAL DAMAGE,FALSE,25
41060,THEFT,TRUE,71
41060,BURGLARY,FALSE,3
41060,OTHER OFFENSE,TRUE,38
41060,THEFT,FALSE,27
41060,THEFT,FALSE,66
41060,MOTOR VEHICLE THEFT,FALSE,3
41060,ASSAULT,TRUE,2
41060,THEFT,FALSE,27
41060,DECEPTIVE PRACTICE,TRUE,44
41060,BATTERY,FALSE,60
41060,CRIMINAL TRESPASS,FALSE,3
41060,BATTERY,TRUE,10
41060,CRIM SEXUAL ASSAULT,FALSE,71
41060,CRIMINAL DAMAGE,FALSE,58
41060,CRIMINAL DAMAGE,TRUE,71
41060,ASSAULT,FALSE,6
41060,THEFT,FALSE,56
41060,CRIM SEXUAL ASSAULT,FALSE,61
41060,BATTERY,TRUE,35
41060,THEFT,FALSE,8
41060,CRIMINAL DAMAGE,FALSE,23
41060,BURGLARY,FALSE,6
41060,MOTOR VEHICLE THEFT,FALSE,6
41060,BURGLARY,FALSE,71
41060,THEFT,FALSE,42
41060,OTHER OFFENSE,TRUE,25
41060,BURGLARY,FALSE,9
41060,BURGLARY,FALSE,23
41060,BURGLARY,FALSE,8
41060,ROBBERY,FALSE,42
41060,CRIMINAL DAMAGE,FALSE,31
41060,THEFT,FALSE,46
41060,BATTERY,TRUE,69
41060,BURGLARY,FALSE,1
