class,ip,ea,vis,bp,fp,li,mg,al,pf6,lio2,o2m,o2,na,ni2,ni3,mn2,mn3,mn4,co,PYR14,FSI,TFSI,co2,h2o
class-00000001,-10.19,0.37,2.99,523.59,362.39,13.98,100.68,83.26,2.82,7.82,13.47,-1.68,7.66,29.01,90.78,29.01,90.8,189.68,90.8,-3.27,0.55,0.89,-1.7,-1.8
class-00000001,-10.64,-0.37,1.15,400.71,277.35,17.03,112.58,91.8,-0.64,6.77,8.39,-0.7,9.94,34.87,102.29,34.87,102.31,207.14,102.31,-0.59,-2.39,-1.68,-1.23,-1.16
class-00000001,-10.72,0.17,0.74,429.75,289.78,11.17,92.75,78.25,2.71,6.58,14.36,-1.68,4.88,23.25,82.7,23.25,82.72,179.81,82.72,-3.71,0.26,0.58,-1.76,-2.08
class-00000001,-10.48,0.05,2.64,514.65,349.9,14.2,102.57,84.75,0.09,6.27,10.3,-1.25,7.57,29.34,92.51,29.34,92.53,192.77,92.53,-1.53,-1.95,-1.41,-1.54,-1.68
class-00000001,-10.11,-0.8,1.81,556.58,369.67,15.95,109.12,89.3,0.94,7.48,11.71,-1.31,8.97,32.83,98.91,32.83,98.93,202.04,98.93,-2.02,-1.18,-0.73,-1.59,-1.12
class-00000001,-8.91,2.75,1.1,446.33,303.35,4.35,66.78,59.87,5.46,6.06,18.09,-2.1,-0.65,9.72,57.46,9.72,57.48,142.01,57.48,-5.31,2.84,3.11,-1.77,-4.78
class-00000001,-10.46,1.57,1.59,491.48,330.46,12.66,97.22,81.01,2.83,7.47,14.48,-1.73,6.2,26.28,87.26,26.28,87.28,185.12,87.28,-3.8,0.47,0.83,-1.73,-2.35
class-00000001,-10.5,1.61,1.84,508.77,342.16,12.51,97.24,81.16,2.88,7.5,14.69,-1.74,6.02,26,87.2,26,87.22,185.59,87.22,-3.97,0.51,0.88,-1.73,-2.51
class-00000001,-10.96,0.03,2.26,526.15,358.34,14.05,101.17,83.64,2.46,7.6,13.35,-1.71,7.65,29.09,91.23,29.1,91.25,190.45,91.25,-2.96,0.19,0.53,-1.79,-1.54
class-00000001,-9.59,0.02,1.24,387.18,272.52,28.84,151.26,117.74,5.64,15.81,17.81,-2.11,20.63,58.69,140.75,58.7,140.78,259.38,140.78,-1.11,3.04,3.21,-1.69,1.21
class-00000001,-9,-0.19,2.13,514.84,354.05,22.21,126.97,100.65,3.55,11.6,14.38,-1.94,14.93,45.43,117.06,45.43,117.08,224.11,117.09,-1.91,1.2,1.34,-1.93,0.4
class-00000001,-10.21,-0.66,23.27,723.63,481.68,7.45,76.51,66.21,2.76,5.24,13.25,-1.78,2.27,16.05,67.22,16.05,67.24,154.6,67.24,-3.86,0.54,0.85,-1.78,-3.19
class-00000001,-9.45,0.2,11.41,594.42,417.07,20.3,120.81,96.63,4.32,11.49,15.87,-2.13,13.47,41.75,110.87,41.76,110.89,216.47,110.89,-2.4,1.83,2.14,-1.92,-0.24
class-00000001,-10.47,2.42,21,711.95,482,-3.14,44,44.66,3.81,1.13,15.2,-2.05,-7.72,-5.08,34.68,-5.08,34.7,111.83,34.7,-6.28,1.38,1.74,-1.89,-5.66
