Gender,Year,Major,GPA,FamilyIncome,Age,NoOfCourses,Country,Id
M,3,PHY,2.4,95000,21,3,CANADA,0
F,3,CHEM,2.6,110000,21,2,GER,1
M,4,STAT,1,370000,23,6,KOR,2
F,4,PHY,3.4,75000,23,3,US,3
M,3,STAT,2.2,80000,23,4,FRANCE,4
F,3,CS,4.0,65000,21,5,THAILAND,5
M,3,ECE,2.8,95000,23,3,BRAZIL,6
M,1,STAT,1,105000,21,5,AUS,7
F,4,CHEM,2.8,30000,23,6,CANADA,8
F,2,CS,3.0,85000,22,5,GER,9
F,2,MATH,1.4,285000,22,3,RUSSIAN,10
F,2,CHEM,1.2,100000,21,4,GER,11
F,1,CS,1.8,120000,19,4,ENG,12
F,3,CHEM,2.2,80000,23,4,THAILAND,13
M,1,CS,2.2,90000,20,6,THAILAND,14
F,3,MATH,2.0,335000,22,5,THAILAND,15
M,4,PHY,3.6,90000,24,2,SPAIN,16
M,4,CHEM,3.4,75000,23,3,GER,17
F,3,ECE,2.4,65000,21,5,SPAIN,18
F,4,CHEM,2.8,30000,22,6,SPAIN,19
M,4,CHEM,3.0,45000,22,5,AUS,20
M,4,CS,4,90000,22,2,RUSSIAN,21
M,2,CHEM,1.2,100000,22,4,ENG,22
F,1,CS,2.0,105000,19,5,ENG,23
M,2,ME,1.4,115000,21,3,US,24
M,1,ME,1,135000,19,3,RUSSIAN,25
M,3,PHY,2.2,80000,22,4,RUSSIAN,26
M,3,MATH,2.2,320000,21,4,FRANCE,27
F,3,CS,4,50000,22,6,SPAIN,28
F,1,CS,2.0,105000,21,5,JPN,29
F,1,PHY,1,90000,20,6,ENG,30
F,4,CHEM,3.2,60000,22,4,BRAZIL,31
F,1,MATH,1,310000,21,6,RUSSIAN,32
M,1,CS,2.8,280000,20,4,KOR,33
F,3,CHEM,2.6,110000,21,2,CANADA,34
F,4,ECE,4,30000,24,6,CHN,35
M,1,CHEM,1,150000,20,2,AUS,36
F,2,CS,3.0,85000,21,5,US,37
F,4,CS,4,90000,24,2,FRANCE,38
F,4,CHEM,3.2,60000,24,4,JPN,39
M,1,CHEM,2.0,105000,21,5,CHN,40
M,3,PHY,2.4,95000,23,3,CANADA,41
F,1,MATH,1,265000,20,3,US,42
F,3,PHY,4,50000,21,6,CHN,43
F,2,CHEM,1.6,130000,22,2,GER,44
F,2,STAT,1.2,100000,20,4,CANADA,45
M,3,PHY,2.4,95000,21,3,THAILAND,46
M,1,CS,2.0,105000,21,5,FRANCE,47
F,3,PHY,2.4,95000,21,3,BRAZIL,48
M,4,MATH,1,310000,24,2,KOR,49
F,4,CHEM,2.8,30000,24,6,SPAIN,50
F,4,MATH,2.8,370000,23,6,ENG,51
F,3,PHY,2.6,110000,22,2,AUS,52
M,3,PHY,2.2,80000,22,4,THAILAND,53
F,2,ECE,2.8,100000,20,4,SPAIN,54
F,3,STAT,1.7999999999999998,50000,21,6,JPN,55
F,2,PHY,1.2,100000,22,4,BRAZIL,56
M,1,ME,1,135000,20,3,IND,57
F,1,PHY,1,150000,20,2,CANADA,58
M,1,ME,1,135000,19,3,GER,59
F,3,PHY,1.7999999999999998,50000,22,6,IND,60
F,1,CHEM,1,120000,19,4,AUS,61
F,4,ECE,2.8000000000000003,90000,24,2,IND,62
M,4,STAT,3.2,60000,22,4,IND,63
F,4,MATH,3.4,325000,24,3,GER,64
F,4,ME,3.4,75000,23,3,RUSSIAN,65
F,1,PHY,1,105000,21,5,BRAZIL,66
M,3,CHEM,1.7999999999999998,50000,23,6,ENG,67
M,4,ME,2.8,30000,24,6,JPN,68
M,2,CHEM,1.2,100000,22,4,SPAIN,69
M,3,PHY,2.2,80000,22,4,IND,70
M,2,ECE,2.4,70000,21,6,RUSSIAN,71
M,1,ECE,2.8,105000,20,5,BRAZIL,72
F,2,PHY,1,70000,21,6,US,73
F,1,ECE,3.4,150000,20,2,AUS,74
M,3,MATH,2.0,335000,22,5,FRANCE,75
F,4,CS,4,45000,23,5,IND,76
M,3,CS,3.8,80000,23,4,FRANCE,77
F,1,ECE,2.5999999999999996,90000,21,6,THAILAND,78
M,2,CS,2.4,130000,22,2,FRANCE,79
M,1,PHY,1,90000,21,6,BRAZIL,80
F,3,CS,3.4,110000,21,2,IND,81
F,3,CHEM,1.7999999999999998,50000,22,6,SPAIN,82
M,2,STAT,1.2,100000,20,4,RUSSIAN,83
M,2,STAT,1.2,100000,20,4,GER,84
F,3,ECE,2.4,65000,22,5,IND,85
M,3,MATH,2.6,290000,23,2,US,86
F,4,CHEM,3.0,45000,24,5,IND,87
