date,year,day,month,week,product,color,quantity,salesprice
1443744000,2015,2,10,40,S/S TOP,98A,1,10.19
1443744000,2015,2,10,40,CAPRI,05U,1,23.79
1443744000,2015,2,10,40,LONG LEGGING,26E,1,42.50
1443744000,2015,2,10,40,JACKETS,001,1,51.00
1444953600,2015,16,10,42,CAPRI,001,1,50.00
1445212800,2015,19,10,43,GLOVES,614,1,14.00
1445212800,2015,19,10,43,GLOVES,001,1,14.00
1445212800,2015,19,10,43,SINGLET,001,1,25.00
1445212800,2015,19,10,43,TANK,21G,1,25.00
1445212800,2015,19,10,43,S/S TOP,21B,1,24.99
1445212800,2015,19,10,43,SPORTBRA CUT AND SEW,06H,1,35.00
1445212800,2015,19,10,43,SINGLET,513,1,25.00
1445212800,2015,19,10,43,CAPRI,361,1,42.00
1445212800,2015,19,10,43,LONG LEGGING,303,1,45.00
1445299200,2015,20,10,43,SPORTBRA CUT AND SEW,41H,1,35.00
1445299200,2015,20,10,43,TANK,21G,1,25.00
1445299200,2015,20,10,43,TANK,21G,1,25.00
1445299200,2015,20,10,43,SPORTBRA CUT AND SEW,45D,1,13.99
1445299200,2015,20,10,43,PERSONAL PACKS,001,1,25.50
1445299200,2015,20,10,43,SINGLET,001,1,9.99
1445299200,2015,20,10,43,SHORT,45D,1,13.99
1445385600,2015,21,10,43,HEAD BAND,001,1,10.20
1445385600,2015,21,10,43,SPORTBRA CUT AND SEW,97C,1,25.99
1445385600,2015,21,10,43,LONG LEGGING,303,1,45.00
1445385600,2015,21,10,43,CAPRI,64A,1,19.99
1445385600,2015,21,10,43,TANK,34D,1,25.00
1445385600,2015,21,10,43,PANTS,001,2,50.00
1445385600,2015,21,10,43,SINGLET,626,1,17.99
1445385600,2015,21,10,43,SINGLET,001,1,17.99
1445385600,2015,21,10,43,S/S TOP,513,1,30.00
1445385600,2015,21,10,43,S/S TOP,98A,1,30.00
1445385600,2015,21,10,43,JACKETS,361,1,45.00
1445472000,2015,22,10,43,SPORTBRA CUT AND SEW,23B,1,17.99
1445472000,2015,22,10,43,JACKETS,001,1,45.00
1445472000,2015,22,10,43,PANTS,001,1,45.00
1445472000,2015,22,10,43,SPORTBRA CUT AND SEW,06H,1,11.89
1445472000,2015,22,10,43,HEAD BAND,398,1,12.00
1445472000,2015,22,10,43,TANK,21G,1,17.99
1445472000,2015,22,10,43,TANK,53B,1,7.49
1445472000,2015,22,10,43,S/S TOP,886,1,15.99
1445472000,2015,22,10,43,LONG LEGGING,773,1,50.00
1445472000,2015,22,10,43,PANTS,303,1,45.00
1445472000,2015,22,10,43,L/S TOP,001,1,40.00
1445472000,2015,22,10,43,CAPRI,08N,1,23.24
1445472000,2015,22,10,43,SINGLET,33E,1,17.99
1445472000,2015,22,10,43,HEAD BAND,001,1,12.00
1445472000,2015,22,10,43,TANK,22E,1,18.75
1445558400,2015,23,10,43,CAPRI,04H,2,14.99
1445558400,2015,23,10,43,CAPRI,01B,1,19.99
1445558400,2015,23,10,43,CAPRI,64A,1,19.99
1445558400,2015,23,10,43,CAPRI,001,1,26.34
1445558400,2015,23,10,43,PANTS,001,1,38.25
1445558400,2015,23,10,43,L/S TOP,31B,1,34.00
1445558400,2015,23,10,43,SPORTBRA CUT AND SEW,013,1,13.99
1445558400,2015,23,10,43,CAPRI,001,1,19.99
1445558400,2015,23,10,43,CAPRI,513,1,50.00
1445644800,2015,24,10,43,SPORT BRA,303,2,11.89
1445644800,2015,24,10,43,SPORTBRA CUT AND SEW,001,1,22.09
