SoldPricePerSqft,PctForeclosured,PctIncreasing,Metro,County,Turnover,Month,PctDecreasing,ListingPricePerSqft,PctPriceReductions,Foreclosures-Ratio,State,PriceToRentRatio,SaleToListRatio,ListingPrice,NumberForRent,SoldPrice,City,Year,Quarter
194.5704,0.4202,85.86,Minneapolis-St Paul,Scott,8.7387,1,7.98,0,0,1.2228,MN,0,0,0,0,242715,Savage,1,1
198.2669,0.4202,89.04,Minneapolis-St Paul,Scott,8.989,2,6.59,0,0,1.2228,MN,0,0,0,0,254500,Savage,1,1
198.967,0.4202,93.2,Minneapolis-St Paul,Scott,8.9175,3,4.22,0,0,1.2228,MN,0,0,0,0,249550,Savage,1,1
202.9194,0.4202,85.03,Minneapolis-St Paul,Scott,9.0248,4,8.15,0,0,1.2228,MN,0,0,0,0,237015,Savage,1,2
205.5637,0.4202,94.04,Minneapolis-St Paul,Scott,8.9652,5,3.47,0,0,1.2228,MN,0,0,0,0,233900,Savage,1,2
208.9402,0.4202,95.78,Minneapolis-St Paul,Scott,9.3467,6,2.03,0,0,1.2228,MN,0,0,0,0,235435,Savage,1,2
207.1287,0.4202,94.46,Minneapolis-St Paul,Scott,9.7759,7,2.56,0,0,0.856,MN,0,0,0,0,254872,Savage,1,3
204.5931,0.4202,95.46,Minneapolis-St Paul,Scott,9.9905,8,1.79,0,0,0.9844,MN,0,0,0,0,260682.4,Savage,1,3
208.6211,0.4202,97.11,Minneapolis-St Paul,Scott,10.4435,9,1.09,0,0,1.0302,MN,0,0,0,0,268685.85,Savage,1,3
212.5673,0.4202,97.25,Minneapolis-St Paul,Scott,10.515,10,0.91,0,0,0.6038,MN,0,0,0,0,261298.75,Savage,1,4
212.0589,0.4202,95.82,Minneapolis-St Paul,Scott,11.0992,11,1.56,0,0,0.693371429,MN,0,0,0,0,250650,Savage,1,4
216.8475,0.4202,93.92,Minneapolis-St Paul,Scott,11.0157,12,2.53,0,0,0.782942857,MN,0,0,0,0,248150,Savage,1,4
212.5635,0.4202,97.56,Minneapolis-St Paul,Scott,10.9442,13,1.06,0,0,0.872514286,MN,0,0,0,0,246650,Savage,2,5
213.0707,0.4202,97.37,Minneapolis-St Paul,Scott,10.8131,14,1.31,0,0,0.962085714,MN,0,0,0,0,248420,Savage,2,5
218.7724,0.4202,95.22,Minneapolis-St Paul,Scott,10.7654,15,1.91,0,0,1.051657143,MN,0,0,0,0,253764,Savage,2,5
218.9597,0.4202,97.3,Minneapolis-St Paul,Scott,10.6581,16,1.23,0,0,1.141228571,MN,0,0,0,0,260606,Savage,2,6
219.9978,0.4202,96.71,Minneapolis-St Paul,Scott,10.7415,17,1.32,0,0,1.2308,MN,0,0,0,0,255065,Savage,2,6
222.0658,0.4202,92.81,Minneapolis-St Paul,Scott,11.0396,18,2.39,0,0,0.8615,MN,0,0,0,0,265185,Savage,2,6
223.3421,0.447053846,94.34,Minneapolis-St Paul,Scott,10.8965,19,2.11,0,0,0.9614,MN,0,0,0,0,265600,Savage,2,7
225.1979,0.473907692,91.92,Minneapolis-St Paul,Scott,10.8965,20,2.63,0,0,2.1954,MN,0,0,0,0,293075,Savage,2,7
223.2978,0.500761538,87.22,Minneapolis-St Paul,Scott,10.5508,21,4.34,0,0,1.4243,MN,0,0,0,0,291025,Savage,2,7
216.0042,0.527615385,88.41,Minneapolis-St Paul,Scott,10.2051,22,4.06,0,0,1.7631,MN,0,0,0,0,276600,Savage,2,8
224.8134,0.554469231,86.49,Minneapolis-St Paul,Scott,9.6328,23,5.11,0,0,0.8602,MN,0,0,0,0,270975,Savage,2,8
236.4063,0.581323077,68.82,Minneapolis-St Paul,Scott,9.9785,24,12.66,0,0,0.727,MN,0,0,0,0,282940,Savage,2,8
235.9056,0.608176923,54.94,Minneapolis-St Paul,Scott,9.8593,25,22.13,0,0,0.5938,MN,0,0,0,0,266985,Savage,3,9
228.914,0.635030769,47.26,Minneapolis-St Paul,Scott,9.6686,26,28.29,0,0,1.6066,MN,0,0,0,0,255000,Savage,3,9
