class,ip,ea,vis,bp,fp,li,lio2,o2m,o2
class-00000001,-10.19,0.37,2.99,523.59,362.39,13.98,7.82,13.47,-1.68
class-00000001,-10.64,-0.37,1.15,400.71,277.35,17.03,6.77,8.39,-0.7
class-00000001,-10.72,0.17,0.74,429.75,289.78,11.17,6.58,14.36,-1.68
class-00000001,-10.48,0.05,2.64,514.65,349.9,14.2,6.27,10.3,-1.25
class-00000001,-10.11,-0.8,1.81,556.58,369.67,15.95,7.48,11.71,-1.31
class-00000001,-8.91,2.75,1.1,446.33,303.35,4.35,6.06,18.09,-2.1
class-00000001,-10.46,1.57,1.59,491.48,330.46,12.66,7.47,14.48,-1.73
class-00000001,-10.5,1.61,1.84,508.77,342.16,12.51,7.5,14.69,-1.74
class-00000001,-10.96,0.03,2.26,526.15,358.34,14.05,7.6,13.35,-1.71
class-00000001,-9.59,0.02,1.24,387.18,272.52,28.84,15.81,17.81,-2.11
class-00000001,-9,-0.19,2.13,514.84,354.05,22.21,11.6,14.38,-1.94
class-00000001,-10.21,-0.66,23.27,723.63,481.68,7.45,5.24,13.25,-1.78
class-00000001,-9.45,0.2,11.41,594.42,417.07,20.3,11.49,15.87,-2.13
class-00000001,-10.47,2.42,21,711.95,482,-3.14,1.13,15.2,-2.05
class-00000001,-9.84,0.4,0.87,459.37,315.3,11.14,8,17.34,-1.98
class-00000001,-10.42,0.43,11.3,633.87,443.1,12.76,8.94,16.78,-2.15
class-00000001,-11.44,0.37,7.94,611.73,419.71,12.87,7.21,13.49,-1.66
class-00000001,-11.31,0.47,1.41,477.31,330.46,12.65,8.43,16.53,-1.91
class-00000001,-10.44,0.43,2.5,536.1,372.39,12.12,8.19,16.06,-2.01
class-00000001,-9.41,0.1,0.46,349.81,238.82,16.7,10.17,16.16,-2.27
class-00000001,-10.63,0.41,2.2,522.47,362.18,11.32,7.44,15.46,-1.94
class-00000001,-9.31,-1.65,5.34,786.46,513.72,18.04,7.28,7.31,-1.21
class-00000001,-9.49,2.81,1.26,450.8,310.44,14.67,9.76,16.52,-1.8
class-00000001,-10.07,1.34,1.29,447.45,305.34,17.68,10.05,14.9,-1.77
class-00000001,-11.23,0.35,2.11,607.68,399.1,10.59,5.43,12.52,-1.58
class-00000001,-10.12,-1.65,2.08,587.69,389.1,17.89,8.34,11.17,-1.12
class-00000001,-10.38,0.33,1.66,512.24,345.43,11.2,7.29,15.59,-1.85
class-00000001,-10.96,-0.74,4.3,535.88,363.69,11.01,5.97,11.93,-1.96
class-00000001,-10.72,0.57,3.55,605.48,402.93,17.67,9.17,13.06,-1.32
class-00000001,-11.14,-2.41,3.38,590.5,390.36,20.19,8.77,8.61,-0.4
class-00000001,-10.88,-0.9,5.1,541.94,370.6,15.48,7.67,12.17,-1.46
class-00000001,-9.56,-0.1,3.72,540.8,369.86,12.79,7.62,13.54,-2.16
class-00000001,-10.84,0.3,7.29,633.36,424.81,13.29,6.99,12.76,-1.62
class-00000001,-9.13,-0.35,6.54,601.1,412.96,20.46,10.95,14.76,-2.02
class-00000001,-9.1,2.86,6.57,594.52,407.36,17.43,11.89,18.57,-2.1
class-00000001,-10.58,-1.75,8.34,634.63,426.09,16.94,8.02,10.97,-1.19
class-00000001,-10.35,0.44,6.33,633.94,421.52,11.27,7.73,15.96,-1.99
class-00000001,-9.2,-0.89,8.18,637.41,428.22,15.7,8.53,12.86,-1.73
class-00000001,-8.86,-0.16,41.81,787.73,531.74,12.84,5.92,10.47,-1.51
class-00000001,-11.18,0.41,0.82,421.47,289.55,12.48,7.81,15.55,-1.76
class-00000001,-9.05,0.49,2.89,526.13,372.14,22.19,12.97,17.29,-2.17
class-00000001,-10.42,-0.13,0.79,432.06,290.5,19.21,8.29,7.84,-0.68
class-00000001,-9.7,0.8,1.49,550.66,363.9,6.76,3.89,12.92,-1.72
class-00000001,-9.37,-0.15,0.8,410.86,283.12,27.39,14.46,15.99,-1.99
class-00000001,-10.37,-1.22,2.75,513.59,350.14,13.45,6.28,9.55,-1.37
class-00000001,-10.47,0.35,2,534.87,360.2,10.28,6.97,16.01,-1.89
class-00000001,-10.51,0.09,4.03,647.76,427.78,12.63,6.28,12.06,-1.55
class-00000001,-9.2,-0.35,2.15,513.31,354.56,23.76,13.11,16.1,-2.07
class-00000001,-8.58,-0.12,2.76,565.19,380.82,23.61,12.03,14.25,-1.98
class-00000001,-10.13,0.16,1.7,524.83,352.2,13.45,8.57,16.5,-1.91
class-00000001,-9.21,-0.82,4.04,599.2,401.53,12.71,8.31,14.75,-2.07
class-00000001,-11.08,-0.84,9.02,685.68,453.96,9.27,5.12,11.26,-1.65
class-00000001,-10.37,0.39,4.67,604.3,402.93,11.02,7.48,15.9,-1.95
class-00000001,-8.59,2.84,2.58,525.6,360.85,10.19,9.45,19.01,-2.21
class-00000001,-9.53,-1.68,5.41,666.03,438.4,17.25,9.32,13.47,-1.71
class-00000001,-9.94,-1.83,11.36,827.39,526.26,14.5,7.41,11.77,-1.59
class-00000001,-11.01,-0.75,17.08,767.86,502.59,7.15,5,13.63,-1.96
class-00000001,-10.49,0.5,5.69,545.13,385.71,12.57,8.11,15.71,-2.24
class-00000001,-9.16,-0.88,22.96,680.37,468.9,10.58,5.85,11.51,-1.56
class-00000001,-9.88,2.21,0.63,406.78,280.54,12.29,9.43,18.25,-2.04
class-00000001,-9.96,-0.11,2.08,566.7,385.96,13.83,8.28,15.2,-2.07
class-00000001,-10.43,-0.85,0.34,352.58,238.94,25.47,13.85,16.84,-1.87
class-00000001,-10.06,-0.1,0.87,507.68,341.13,13.16,6.8,13.01,-1.86
class-00000001,-11.49,0.28,7.28,559.6,390.68,13.84,8.24,14.71,-1.79
class-00000001,-11.31,0.27,63.38,629.74,440.07,9.31,3.93,4.65,-1.01
class-00000001,-11.39,0.48,1.15,455.25,314.37,11.53,7.49,15.55,-1.86
class-00000001,-11.65,-1.09,0.63,406.95,278.31,23.74,12.64,15.26,-1.61
class-00000001,-10.43,0.43,3.34,554.75,386.39,12.28,8.41,16.3,-2.04
class-00000001,-9.1,2.7,0.64,391.29,270,5.14,6.02,17.85,-2.1
class-00000001,-11.53,-1.15,0.59,385.59,264.01,24,12.41,14.34,-1.47
class-00000001,-10.6,0.42,1.44,492.75,339.77,10.98,7.11,15.22,-1.88
class-00000001,-10.42,0.45,2.58,534.49,371.55,11.68,7.96,16.01,-2
class-00000001,-9.51,0.36,0.47,335.48,226.46,26.48,13.63,14.89,-1.76
class-00000001,-10.32,1.14,1,408.66,279.65,16.36,8.26,13.09,-1.5
class-00000001,-10.07,-0.12,1.09,541.55,356.25,13.25,6.61,12.71,-1.87
class-00000001,-10.05,-1.61,4.09,595.66,401.27,16.33,6.58,5.65,-0.89
class-00000001,-9.46,-0.63,2.1,572.07,378.77,7.39,4.25,12.4,-1.66
class-00000001,-9.71,0.83,1.97,581.65,382.93,4.81,3.43,13.74,-1.8
class-00000001,-9.73,-0.35,0.88,419.94,287.22,20.22,11.49,15.29,-1.95
class-00000001,-10.06,1.96,1.05,441.5,299.95,14.46,9.73,17.43,-1.96
class-00000001,-9.97,-0.1,1.77,587.31,385.48,12.69,7.05,14.02,-1.94
class-00000001,-10.42,1.84,1.65,471.94,322.5,14.96,9.82,17.06,-1.96
class-00000001,-10.03,-0.24,1.63,471.02,322.14,17.3,9.28,14.56,-1.59
class-00000001,-9.79,-0.67,3.22,540.42,371.19,19.65,9.94,12.53,-1.67
class-00000001,-9.91,1.61,1.88,485.68,334.32,16.05,10.3,16.57,-2.01
class-00000001,-10.56,-0.09,22.23,976.41,614.35,14.45,5.94,8.77,-1.1
class-00000001,-9.87,-0.75,2.96,569.37,384.69,11.82,7.36,14.6,-1.86
class-00000001,-9.8,-0.24,3.91,630.49,420.34,15.08,7.56,11.81,-1.8
class-00000001,-8.72,2.82,2.19,509.79,348.29,5.48,6.99,18.63,-2.19
class-00000001,-9.86,-0.33,4.6,563.29,380.84,11.35,7.59,14.26,-2.04
class-00000001,-10.15,-0.64,3.22,556.55,378.92,13.16,8.29,15.33,-1.89
class-00000001,-8.94,-0.83,4.29,621.15,415.96,17.27,8.74,12.39,-1.77
class-00000001,-9.29,-0.88,5.98,620.32,415.92,13.71,7.76,13.41,-1.78
class-00000001,-9.86,-0.75,4.29,599.43,405.64,11.99,7.7,15.13,-1.95
class-00000001,-10.41,-0.07,5.83,612.73,411.3,13.18,8.02,15.17,-1.9
class-00000001,-9.81,-1.86,4.96,647.98,429.1,18.48,8.87,11.56,-1.45
class-00000001,-9.12,-0.17,7.94,646.37,429.83,12.98,7.98,14.49,-2.06
class-00000001,-9.63,0.58,1.41,539.21,359.13,7.98,3.91,10.32,-1.63
class-00000001,-9.03,-0.19,9.69,636.85,430.5,19.67,11.8,15.94,-2.05
class-00000001,-10.19,-0.64,39.44,808.57,524.04,7.57,5.59,13.9,-1.87
class-00000001,-9.11,-0.17,3.81,573.64,389.73,12.86,8.02,14.77,-2.06
class-00000001,-9.09,-0.17,6.4,643.28,432.6,10.95,7.31,14.74,-2.07
class-00000001,-9.93,-0.07,1.52,553.8,375.17,13.4,8.12,15.52,-2.07
class-00000001,-10.85,0.76,2.53,497.96,352.42,19.83,10.98,15.59,-1.98
class-00000001,-8.94,2.99,4.07,540.28,385.1,21.1,13.39,18.57,-2.17
class-00000001,-11.86,-0.09,1.86,463.1,322.5,15.43,6.42,8.34,-1.31
class-00000001,-10.26,0.87,3.31,509.63,355.36,16.46,9.3,14.77,-1.78
class-00000001,-9.82,-0.34,1.72,552.87,372.05,18.66,8.2,10.15,-1.22
class-00000001,-10.73,1.81,0.63,388.7,264.01,15.35,9,15.76,-1.79
class-00000001,-9.98,2.14,0.82,426.57,288.08,10.92,8.01,17.3,-1.92
class-00000001,-9.41,-0.69,2.48,608.5,400.14,7.06,3.89,12,-1.65
class-00000001,-9.66,-0.6,2.07,592.53,390.33,8.45,4.61,12.34,-1.65
class-00000001,-9.41,-0.13,6.08,697.65,459.18,10.92,5.09,10.06,-1.35
class-00000001,-10.01,2.1,1.49,479.7,328.52,14.74,9.85,17.36,-1.99
class-00000001,-10.4,-0.5,3.74,692.39,450.9,7.71,4.01,11.41,-1.51
class-00000001,-11.38,0.41,10.5,825.68,525.79,8.7,4.32,10.11,-1.1
class-00000001,-9.58,0.15,3.87,593.05,400.51,12.25,7.1,13.26,-1.82
class-00000001,-10.26,-0.62,5.93,596.31,403.47,12.63,6.6,11.9,-1.63
class-00000001,-9.77,-0.34,4.48,567.08,382.77,11.77,7.79,14.4,-2.05
class-00000001,-9.61,-0.57,4.57,591.85,397.18,11.76,7.88,14.29,-2.02
class-00000001,-10.25,-1.38,7.3,668.33,445.09,12.68,6.47,11.92,-1.54
class-00000001,-10.83,-0.73,5.73,572.38,389.91,11.14,7.59,15.44,-2.25
class-00000001,-9.28,-0.18,5.01,618.56,417.97,12.04,7.9,15.26,-1.99
class-00000001,-10.85,-0.77,12.43,630.27,431.06,11.7,8.32,16.44,-2.33
class-00000001,-10.21,0.58,9.08,550.94,393.11,13.21,8.28,15.28,-2.23
class-00000001,-5.88,0.41,832.47,950.06,626.33,-7.69,-1.41,11.36,-1.97
class-00000001,-10.96,0.08,62.75,802.95,533.51,5.12,2.49,8.72,-1.51
