ID,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year
10508693,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1022,10,24,29,1154907,1893681,2016
10508695,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,313,3,20,42,1183066,1864330,2016
10508697,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,FALSE,FALSE,1524,15,37,25,1140789,1904819,2016
10508698,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1532,15,28,25,1143223,1901475,2016
10508699,THEFT,$500 AND UNDER,RESIDENCE,FALSE,TRUE,1523,15,28,25,1139890,1901675,2016
10508702,BATTERY,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,631,6,8,44,1183336,1850642,2016
10508703,BATTERY,SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,FALSE,FALSE,133,1,3,35,1176730,1886544,2016
10508704,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,215,2,3,38,1178514,1874573,2016
10508709,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,2432,24,40,1,1165696,1942616,2016
10508982,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,735,7,17,67,1166876,1858796,2016
10508710,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,TRUE,FALSE,334,3,7,43,1195696,1856719,2016
10508715,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,TRUE,1834,18,42,8,1176630,1904401,2016
10508717,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,1232,12,2,28,1168776,1898793,2016
10508724,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,133,1,4,35,1179375,1886199,2016
10508728,THEFT,OVER $500,STREET,FALSE,FALSE,1434,14,1,24,1160444,1910787,2016
10508732,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,831,8,18,66,1157957,1856539,2016
10508738,THEFT,OVER $500,STREET,FALSE,FALSE,1424,14,1,24,1162515,1909832,2016
10508741,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,FALSE,FALSE,225,2,3,40,1177219,1868295,2016
10508747,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2232,22,34,73,1171751,1838335,2016
10508752,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,222,2,4,39,1183654,1876344,2016
10508755,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,1424,14,1,24,1162780,1910519,2016
